institution;country;papers;latitude;longitude
Centre National de la Recherche Scientifique;FR;113;45.7804582;4.874957
University of Southern California;US;83;34.021869;-118.2858579
Delft University of Technology;NL;73;51.9988274;4.3739604
University of Augsburg;DE;69;48.3554077;10.9043357
Carnegie Mellon University;US;67;40.4439193;-79.9428267
Sorbonne Université;FR;62;48.8379885;2.3611216
University of Glasgow;GB;60;55.8716587;-4.2883961
Northeastern University;US;59;42.3351065;-71.0892575
University College London;GB;58;51.524203;-0.1330007
Utrecht University;NL;49;52.0928174;5.1211367
Tsinghua University;CN;46;40.0022905;116.320963
KTH Royal Institute of Technology;SE;45;59.2016758;17.6203201
German Research Centre for Artificial Intelligence;DE;44;52.5243079;13.3444441
Creative Technologies (United States);US;43;33.9827958;-118.4052128
Institut Systèmes Intelligents et de Robotique;FR;43;48.8456898;2.3567339
South China University of Technology;CN;43;23.160342;113.3372426
University of Bremen;DE;39;53.1079646;8.8556646
University of Cambridge;GB;38;52.1955028;0.1302392
University of Twente;NL;38;52.2433268;6.8509157
Chinese Academy of Sciences;CN;37;39.9093367;116.3297146
Southeast University;CN;37;31.8891787;118.815607
Imperial College London;GB;35;51.4989595;-0.1756407
Université Paris-Saclay;FR;34;48.7121501;2.1735087
Monash University;AU;32;-37.7839745;144.9586743
Eindhoven University of Technology;NL;31;51.4486602;5.4903996
Texas A&M University;US;31;30.6108618;-96.3520606
Tilburg University;NL;31;51.5630609;5.0435985
University College Dublin;IE;31;53.3068499;-6.2246268
University of Nottingham;GB;31;52.9387428;-1.2002957
Harbin Institute of Technology;CN;30;45.741589;126.6255626
Massachusetts Institute of Technology;US;30;42.3582529;-71.0966272
Nanyang Technological University;SG;29;1.3484104;103.6829332
NTT (Japan);JP;29;41.7733707;140.7395509
Shanghai Jiao Tong University;CN;29;31.2008911;121.4283949
The University of Tokyo;JP;29;35.9019845;139.9362283
University of Toronto;CA;29;43.6634681;-79.3968165
University of Waterloo;CA;29;43.4701994;-80.5452429
UNSW Sydney;AU;29;-33.9175994;151.2312369
Nara Institute of Science and Technology;JP;28;34.7318113;135.7335875
University of Florida;US;28;29.6411884;-82.3562296
University of Science and Technology of China;CN;27;31.8413821;117.2574533
Laboratoire Interdisciplinaire des Sciences du Numérique;FR;26;48.7123315;2.1680929
Lanzhou University;CN;26;36.0504988;103.8544558
Microsoft (United States);US;26;37.3974949;-122.0842646
University of Genoa;IT;26;44.4148861;8.9266707
University of Canberra;AU;25;-35.2365904;149.0845097
University of Chinese Academy of Sciences;CN;25;39.907697;116.2440577
University of Oulu;FI;25;65.0593277;25.4673577
Sun Yat-sen University;CN;24;23.0996034;113.2923509
The University of Texas at Dallas;US;24;32.9785262;-96.7553288
Beijing Institute of Technology;CN;23;39.9578214;116.3098237
National University of Singapore;SG;23;1.2959845;103.7766186
University of Pittsburgh;US;23;40.444153;-79.962461
Hong Kong Polytechnic University;HK;22;22.3026742;114.1775403
King's College London;GB;22;51.5030855;-0.0900021
Télécom Paris;FR;22;48.7131108;2.199685
University of British Columbia;CA;22;49.2578915;-123.2429755
University of Malta;MT;22;35.9020939;14.4834607
Bielefeld University;DE;21;52.0444616;8.4927162
University of Edinburgh;GB;21;55.9440765;-3.1883736
University of Geneva;CH;21;46.1764888;6.1400863
University of Illinois Urbana-Champaign;US;21;40.0761545;-88.2233134
Aix-Marseille Université;FR;20;43.5259126;5.4141035
Beijing University of Posts and Telecommunications;CN;20;39.960227;116.3519331
ETH Zurich;CH;20;47.413218;8.5374914
Laboratoire Traitement et Communication de l’Information;FR;20;;
Peng Cheng Laboratory;CN;20;22.6286412;113.9297268
University of Colorado Boulder;US;20;40.0070061;-105.2664423
University of Michigan;US;20;42.2942142;-83.7100389
University of Trento;IT;20;46.0661807;11.1166177
Universität Hamburg;DE;20;53.5909051;9.9753758
Institute of Automation;CN;19;31.9620269;118.7586841
Northwestern Polytechnical University;CN;19;34.2469224;108.9106235
Queen Mary University of London;GB;19;51.5247403;-0.0393136
Beihang University;CN;18;39.9809427;116.3409787
Hefei University of Technology;CN;18;31.8467178;117.2905698
Heriot-Watt University;GB;18;55.9102959;-3.3234475
Japan Advanced Institute of Science and Technology;JP;18;36.4436614;136.5923335
National Tsing Hua University;TW;18;24.7916987;120.9924295
Sapienza University of Rome;IT;18;;
Université Grenoble Alpes;FR;18;45.1931884;5.7651901
Vrije Universiteit Amsterdam;NL;18;52.3340539;4.8651882
Xi'an Jiaotong University;CN;18;34.2476753;108.9789725
Italian Institute of Technology;IT;17;45.5660723;12.4265453
Ludwig-Maximilians-Universität München;DE;17;48.1504758;11.5798356
Radboud University Nijmegen;NL;17;51.8215173;5.8634329
Simon Fraser University;CA;17;49.2767096;-122.917803
Tianjin University;CN;17;38.9969312;117.3062804
Trinity College Dublin;IE;17;53.3437061;-6.2544278
University of Rochester;US;17;43.129864;-77.628784
Swansea University;GB;16;51.6189634;-3.8841088
The University of Osaka;JP;16;34.8029055;135.4561866
University of Maryland, Baltimore County;US;16;39.252377;-76.7089181
Beijing Academy of Artificial Intelligence;CN;15;;
Georgia Institute of Technology;US;15;33.7760948;-84.3988077
Indian Institute of Technology Ropar;IN;15;30.9659501;76.4729772
Leiden University;NL;15;52.1686355;4.4597028
Nanjing University of Science and Technology;CN;15;32.031826;118.8521427
Politecnico di Milano;IT;15;45.0468832;9.7030881
Tokyo Institute of Technology;JP;15;35.6045553;139.6827849
University of Macau;MO;15;22.1284604;113.5438378
University of Würzburg;DE;15;;
École Polytechnique Fédérale de Lausanne;CH;15;46.5186594;6.5665615
London Centre for Nanotechnology;GB;14;51.5253031;-0.1330236
Nanjing University of Posts and Telecommunications;CN;14;32.1152716;118.9259566
RWTH Aachen University;DE;14;50.7791732;6.0689207
Shenzhen University;CN;14;22.5359023;113.9314749
Technical University of Munich;DE;14;48.2654976;11.6692249
University of Amsterdam;NL;14;52.3681334;4.8898042
University of Electronic Science and Technology of China;CN;14;30.7534211;103.9294024
University of South Florida;US;14;28.0599999;-82.4138362
Australian National University;AU;13;-35.2812742;149.1172023
Beijing Normal University;CN;13;39.9597631;116.359724
Chinese University of Hong Kong, Shenzhen;CN;13;22.6910685;114.207366
Columbia University;US;13;40.8077507;-73.9624901
Institut polytechnique de Grenoble;FR;13;45.1908798;5.7169733
Korea Advanced Institute of Science and Technology;KR;13;36.3703054;127.3620118
Kyoto University;JP;13;35.0270467;135.7814382
Laboratoire d'Informatique de Grenoble;FR;13;45.1899678;5.7670157
North Carolina State University;US;13;35.7718497;-78.674087
Queen's University;CA;13;44.2263489;-76.4957555
University of Delaware;US;13;39.6802837;-75.7530984
University of Houston;US;13;29.7207902;-95.3440627
Agency for Science, Technology and Research;SG;12;;
Harvard University;US;12;42.3657432;-71.1222139
Indraprastha Institute of Information Technology Delhi;IN;12;;
Instituto de Engenharia de Sistemas e Computadores Investigação e Desenvolvimento;PT;12;;
Laboratoire d’Informatique et Systèmes;FR;12;;
LMU Klinikum;DE;12;48.1107057;11.4693622
Macquarie University;AU;12;-33.774197;151.1127138
Universitat Oberta de Catalunya;ES;12;41.1538709;1.1003996
University of Lisbon;PT;12;38.7527961;-9.1570276
University of Luxembourg;LU;12;49.5036259;5.9487155
University of Surrey;GB;12;51.2430782;-0.5900545
University of Washington;US;12;47.6554303;-122.3001692
Zhejiang University;CN;12;30.521595;120.7195312
Cornell University;US;11;42.452916;-76.4800635
Dalian University of Technology;CN;11;38.8812564;121.52016
